focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
bacterial vaginosis,pneumonia,False,A vaginitis that is characterized by a grayish vaginal discharge usually of foul odor and the presence of Gardnerella vaginalis.,"A lung disease that involves lung parenchyma or alveolar inflammation and abnormal alveolar filling with fluid (consolidation and exudation). It results from a variety of causes including infection with bacteria, viruses, fungi or parasites, and chemical or physical injury to the lungs. It is accompanied by fever, chills, cough, and difficulty in breathing."
hordeolum externum,meibomian cyst,False,"A blepharitis that is characterized by an infection of the sebaceous glands of Zeis at the base of the eyelashes, or an infection of the apocrine sweat glands of Moll.","A blepharitis that is characterized as a cyst in the eyelid that is caused by inflammation of a blocked meibomian gland, usually on the upper eyelid."
androgen insensitivity syndrome,methemoglobinemia and ambiguous genitalia,False,"A disorder of sexual development that is characterized by the inability of the cell to respond to androgens in individuals with a karyotype of 46,XY resulting in female physical traits but male genetic makeup.","A disorder of sexual development characterized by severely reduced 17,20-lyase activity of CYP17A1, sex steroid deficiency with no deficiency in glucocorticoid and mineralocorticoid reserves, absent or disturbed pubertal development, and mild to severe methemoglobinemia that has material basis in homozygous or compound heterozygous mutation in the CYB5A gene on chromosome 18q22.3."
pemphigus,psoriatic arthritis,False,"An autoimmune disease of skin and connective tissue that is characterized by blistering of the outer layer of the skin and mucous membranes (mouth, nose, throat, eyes, and genitals), causing lesions and blisters that are easily ruptured.",An arthritis that is characterized by joint inflammation that usually occurs in combination with psoriasis.
nephroblastoma,congenital mesoblastic nephroma,False,A kidney cancer that affects the kidneys and typically occuring in children.,A kidney cancer that is characterized by the presence of fibroblastic cells.
testis sarcoma,embryonal testis carcinoma,False,A sarcoma and malignant neoplasm of testis that is located in the testis.,An embryonal carcinoma that is located in the testis.
pancreatic endocrine carcinoma,acromesomelic dysplasia,False,An islet cell tumor that has material basis in epithelial cells.,"An osteochondrodysplasia that is characterized by mesomelia and acromelia, which results in short limb dwarfism."
fatal familial insomnia,Gerstmann-Straussler-Scheinker syndrome,False,"A prion disease that is characterized by insomnia, hallucinations, dementia and death, located in the brain.","A prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain."
aorta atresia,Marfan syndrome,False,An aortic disease that is characterized by an absence of an opening from the left ventricle of the heart into the aorta.,"A connective tissue disease that is characterized by tall stature, elongated extremities, mitral valve prolapse, aortic dilatation, aortic dissection, and subluxation of the lens."
neovascular inflammatory vitreoretinopathy,cone dystrophy,False,"A retinal and vitreous disease characterized by ocular inflammation, vascular dropout, large spots of hyperpigmentation, neovascularization of the peripheral and posterior retina, vitreous hemorrhage, and retinal detachment that has material basis in heterozygous mutation in the CAPN5 gene on chromosome 11q13.5.","A retinal disease that is characterized by the loss of cone cells, the photoreceptors responsible for both central and color vision."
gastric teratoma,pharynx cancer,False,A teratoma that is located in the stomach or other gastric tissue.,A gastrointestinal system cancer that is located in the pharynx.
Naxos disease,blood platelet disease,False,"A nonepidermolytic palmoplantar keratoderma that is characterized by palmoplantar keratoderma, woolly hair and arrhythmogenic right ventricular cardiomyopathy and that has material basis in homozygous mutation in the plakoglobin gene on chromosome 17q21.",A blood coagulation disease that is characterized by an abnormal increase or decrease in platelets or platelet dysfunction.
auto-brewery syndrome,hyperprolactinemia,False,"An acquired metabolic disease that is characterized by the endogenous production of ethanol produced through endogenous fermentation by fungi or bacteria in the gastrointestinal system, oral cavity, or urinary system and typically presents with the signs of alcohol intoxication.",An acquired metabolic disease that has material basis in the presence of abnormally-high levels of prolactin in the blood.
conjunctival nevus,tricuspid valve disease,False,A sensory organ benign neoplasm that is located in the eye conjunctiva.,"A heart valve disease that is characterized by valvular insufficiency or valvular stenosis, located in tricuspid valve between the right atrium and right ventricle."
microvillus inclusion disease,frontotemporal dementia,False,"A congenital diarrhea characterized by onset of intractable life-threatening watery diarrhea during infancy, lack of microvilli on the surface of enterocytes and occurrence of intracellular vacuolar structures containing microvilli that has material basis in homozygous or compound heterozygous mutation in the MYO5B gene on chromosome 18q21.",A dementia characterized by progressive neuronal loss predominantly involving the frontal and/or temporal lobes of the brain resulting in a gradual and progressive decline in behavior or language.
malignant hemangioma,rhabdomyosarcoma,False,A cell type cancer of vascular origin that is characterized by the proliferation of endothelial cells in and about the vascular lumen.,A skeletal muscle cancer that arise from skeletal muscle progenitors.
gastrinoma,acute porphyria,False,A neuroendocrine tumor that results in an overproduction of gastric acid.,"A porphyria that has symptom abdominal pain, has symptom neuropathy, has symptom autonomic instability and has symptom psychosis."
